tid,artist_name,title,genre,topic
TRAONYI128F9324BA3,Patricia Kaas,Elle Voulait Jouer Cabaret,Pop,0
TRATGTP128F427021D,Neil Diamond,Hey Louise,Rock,22
TRAWYNV128F92F5E7E,Guns N' Roses,Catcher In The Rye,Rock,12
TRACKWV128F934B6B0,Goatwhore,Forever Consumed Oblivion,Rock,23
TRAHZIL12903CF1DC2,Blind Willie Johnson,If I Had My Way I'd Tear This Building Down,Blues,21
TRABOXX128F92F29EB,Owl City,Panda Bear,Pop,1
TRAXUBG128F9332164,The Sonics,Love Lights,Rock,18
TRBBJAJ128F425DA40,Jane's Addiction,True Nature,Rock,21
TRAVMXD12903CBBD0B,Jimi Hendrix,Once I Had A Woman,Rock,18
TRASDGG128F933EDE2,Anti-Flag,On Independence Day,Punk,12
TRBCJSZ128E07969B5,Coldplay,The World Turned Upside Down,Rock,8
TRAYLRT128F42605AF,The Verve Pipe,La La,Rock,14
TRBFOEA128F425D2DB,John Fogerty,Soda Pop,Rock,4
TRARIZK128F92FF27A,John Cale,Antarctica Starts Here,Rock,1
TRBCGXN128F148C0CD,Paul Stanley,Move On,Rock,8
TRATBGP128F1482545,Happy Mondays,Olive Oil,Rock,14
TRACLRS12903CE9386,Tammy Wynette,Stand By Your Man,Country,14
TRAGDLM128F4233397,Mago de Oz,Desde mi cielo,Rock,2
TRALNJR128F145AC96,Beastie Boys,Shadrach,Rap,22
TRAAIHL128F92E6DDA,Boyz II Men,On Bended Knee,RnB,21
TRAMBFD128EF34B848,MIMS,Cop It,Rap,20
TRAVKJJ128F424DA32,Rickie Lee Jones,Second Time Around,Pop,8
TRASLVK128F935046C,Gustavo Cerati,La Excepcion,Rock,2
TRAACER128F4290F96,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,Metal,12
TRABPUI12903CF22CE,Turisas,Sahti Waari,Metal,13
TRAZYQF12903CE3DA5,Valient Thorr,Problem Solver,Rock,8
TRATHFM128F148ADD4,Eastmountainsouth,Hard Times,Rock,1
TRAILKS128F14A3AC9,K-OS,AquaCityBoy,Rap,24
TRANCFS12903C9B61B,Belle and Sebastian,Like Dylan In The Movies,Rock,24
TRAYUWU128F423F66D,Charley Patton,Mississippi Boweavil Blues,Blues,21
TRAKUJS128F14668E5,Butthole Surfers,Ulcer Breakout,Rock,20
TRALMTD128E07862AC,Redman,Jam 4 U,Rap,24
TRACNXS128F93395BA,Ten Years After,Victim Of Circumstance,Rock,7
TRAWWHT128F426894E,Hem,When I Was Drinking,Country,8
TRAMTYX128F42985D0,The Misfits,Halloween II,Punk,23
TRBFBOG128F9356C6E,EPMD,Head Banger,Rap,22
TRBAHBP128F42985D6,The Misfits,We Bite,Rock,19
TRADAFY128F145B77B,Marlene Dietrich,Auf Der Mundharmonika,Jazz,15
TRALEER128F4268E6D,Erick Sermon,Freak Out,Rap,24
TRAATNJ128F42631BA,Korn,Ever Be,Metal,8
TRALUTY128F9322DC0,2 Minutos,Como Caramelo De Limón,Rock,2
TRASAIH128F931F567,Thrice,Betrayal Is A Symptom,Rock,12
TRBEATE128E078F0D8,Bon Jovi,Only Lonely,Rock,14
TRBECKU128F428B08A,Erick Sermon,I'm Hot,Rap,9
TRAEASY128F148247C,Charlotte Gainsbourg,Tel Que Tu Es,Pop,0
TRAKZHN128F426C3D2,Aerosmith,On The Road Again,Rock,17
TRAETAG128F93385AE,Jean-Jacques Goldman,Là-Bas,Rock,0
TRAUYLT128F427538E,Dope Stars Inc.,Chase The Light,Electronic,8
TRBCSDW128F424D686,The Maine,You Left Me,Pop,17
TRBHQUM128F9309DE1,Broadcast,Michael A Grammar,Rock,6
TRBHSMF128F4285B9C,Jeff Scott Soto,If This Is The End,Rock,8
TRBBHFE12903CA5EEB,Paris_ Texas,Hip Replacement,Rock,1
TRACYCJ128F9309246,Britney Spears,Don't Go Knockin' On My Door,Pop,21
TRAHLDM128F933A3B1,Sui Generis,Bubulina,Rock,2
TRAYZZB128F425B73A,Christina Aguilera,Genio Atrapado,Pop,2
TRAEPGQ128F932AE6D,Loretta Lynn,I Can't Feel You Anymore,Country,8
TRAQEKD128F425293D,Auf Der Maur,Taste You,Rock,4
TRATAIB128F92E81CB,Dishwalla,Moisture,Rock,17
TRABUDK128F14943F3,Donny Hathaway,This Christmas (LP Version),RnB,18
TRAHKRO128F9320EA7,The Tragically Hip,The Drop-Off,Rock,16
TRBHMZS128F42658FF,Three 6 Mafia,Money Didn't Change Me,Rap,21
TRAKWZL128F93346EE,The Gufs,Last Goodbye,Rock,15
TRAHCBD128F9336A3E,Toots & The Maytals,Sweet & Dandy,Reggae,6
TRAJNWY128E078907F,Cut Copy,Future,Electronic,18
TRAOMMU128F933878B,Guitar Slim,The Things That I Used To Do,Blues,14
TRAZWGV128F425DA7C,Tracy Byrd,Just Let Me Be In Love,Country,2
TRBCGKB12903CC0031,Robert Palmer,Some Guys Have All The Luck,Rock,9
TRAHFOU128F42B3F2A,Rakim,Outro,Rap,20
TRAKXYJ128F42525ED,Agnostic Front,Undertow,Punk,8
TRARKEH128F1463CB2,The Sensational Alex Harvey Band,Delilah,Rock,13
TRATCLI128F422BCF8,RyanDan,Wind Beneath My Wings,Pop,1
TRBFYKT128F428AFF7,Phil Vassar,Like I Never Loved Before,Country,12
TRBBXEG128F424EC2C,April Wine,Babes In Arms,Rock,14
TRALJBT128F4266FD8,Jennifer Lopez,Play,RnB,7
TRABUVN128F930633C,De La Ghetto,Es dificil,Latin,2
TRAMVOM128F42ACB16,Faithless,Take The Long Way Home,Electronic,14
TRAMCGL128F92F3D87,The Mars Volta,Eriatarka,Rock,8
TRALROP128F92CA9CC,Foo Fighters,Next Year,Rock,16
TRAAZQW128F93430DC,Shawn Colvin,Another Long One,Folk,16
TRAGCTZ128F4290974,Restless Heart,That Rock Won't Roll,Country,4
TRAZOSB128F9302A07,Maroon 5,This Love,Rock,17
TRANREH128F93462CF,Kurupt,Girls All Pause,Rap,20
TRBGBIK128F4294A67,Samy Deluxe,Denk,Rap,15
TRAZVFJ128F9310CE2,Radiohead,Vegetable (Live),Rock,17
TRAEBXS128F429933A,Britney Spears feat. Pharrell Williams,Boys,Pop,11
TRAJSRH128F425DDC7,Beyoncé,Irreplaceable (Irreemplazable),RnB,8
TRAYJHF128F4294CB8,K'Naan,Smile,Rap,21
TRBCYOI128F1455566,Beastie Boys,Crawlspace,Rap,24
TRADJHU128F425459F,Novembre,Triesteitaliana,Metal,17
TRANTFR128F931C7DA,The Almost,Books & Books,Rock,12
TRANEQB128F4284978,Mary Black,Katie,World,11
TRAVPHL128F424EAE1,3 Doors Down,Who Are You,Rock,8
TRAQLOD128F145EC9D,Enrique Iglesias,Dicen Por Ahi,Latin,2
TRASWKJ128E0792FE7,Patty Griffin,Flaming Red,Folk,22
TRAJDGB128F42882AC,OutKast,Call Of Da Wild,Rap,20
TRARANL128F1478789,Rise Against,Drones,Rock,12
TRANRIK128F148C860,Eminem,Paul,Rap,8
TRASRBB128F42AFD5C,Brian Littrell,Wish,Pop,12
TRACBWP128C7196948,3 Doors Down,It's Not Me,Rock,8
TRADJKG12903CE049F,Tesla,So What!,Rock,11
TRADSVJ12903C9CDFA,Sweet,Do It All Over Again,Rock,14
TRAKXPE128F1462FF2,John Berry,She's Taken A Shine,Country,8
TRACJPW128F932CA4C,Autumnblaze,Her Golden Robe In Silence Veiled,Rock,1
TRAKTWZ128EF35E206,Janet Jackson,When I Think Of You,Electronic,14
TRAVTUD128F93094F2,Broadcast,Where Youth And Laughter Go,Electronic,8
TRBIAVU128EF3493BA,Asleep At The Wheel,The Letter That Johnny Walker Read,Country,21
TRAMSAY128F92ED0DD,It Dies Today,Sixth of June,Rock,8
TRBGHND128E079438C,Kiss,Anything For My Baby,Rock,21
TRAOATJ128F147FC9B,Phil Collins,I Cannot Believe It's True,Rock,8
TRAHZMM128E07838FF,Wet Wet Wet,Goodnight Girl,Pop,8
TRAWGXD128F428A36B,Mindy McCready,Guys Do It All The Time,Country,21
TRABQZK128F92F54F4,Shakira,Pienso En Ti,Pop,2
TRAXXIT128F4263075,Henry Lee Summer,I Wish I Had A Girl,Rock,9
TRABYEY128F933773A,Anti-Flag,This Is NOT a Crass Song,Punk,8
TRATZQS128F1467D4B,Devo,Going Under,Rock,8
TRAONPF128F42480A7,Phil Vassar,This Is My Life,Country,8
TRAMUYQ128F428CA58,Patti Smith,Lo and Beholden,Rock,1
TRBCVPD12903CECBE8,Solas,Bonnie Mae,Folk,5
TRAPPUJ128F931B3D1,Jawoll,Rendezvous - Ich hab' Dich seit langem nicht gesehen,Pop,15
TRANBMY128F426416A,Danger Danger,Rock America,Metal,8
TRAEOMS128F4262357,NOFX,My Heart Is Yearning,Punk,8
TRANLRX128F4259030,Zeromancer,Mosquito Coil,Electronic,10
TRAGAVF128F424829B,Ronnie Milsap,Don't You Know How Much I Love You,Country,14
TRARBBK128F427ED68,Koffi Olomide,Elle Et Moi,World,0
TRBCQLB128F9332CF4,32 Leaves,Way Beyond,Rock,8
TRAUUIF128F93232FE,God Lives Underwater,Don't Know How To Be,Electronic,21
TRBBVSO128F9341C12,Martina McBride,Anything's Better Than Feelin' The Blues,Country,21
TRAGYXL128F92F9FCB,Cowboy Mouth,Disconnected,Rock,17
TRBHFBL128F14537D2,Gorillaz,Dirty Harry (Single Edit),Pop,20
TRAVLNW128F4272F05,Gian Marco,Te Mentiría,Latin,2
TRAECBR128F429F8C0,Britney Spears,Everytime,Pop,8
TRBFXMJ12903CB50F6,brokeNCYDE,Freaxxx,Rap,9
TRBIHAU128F425C317,Dinosaur Jr.,Does It Float,Rock,16
TRAKOAK128F4248629,Chops,Give It To 'Em,Rap,5
TRADQBK128F92E8B5F,Mat Kearney,Never Be Ready,Rock,3
TRAVXII128F92FCC6D,Stephen Marley,Mind Control,Reggae,23
TRBDLLL128F9331D6E,Akon,Gun Shot,Rap,12
TRBDBVM128F427BCC9,W.A.S.P.,Phantoms In The Mirror,Rock,12
TRAMOLS128F92F99E3,Dealership,I Don't Want Your Love,Rock,14
TRAVJDB128F93305EB,Gustavo Cerati,Tu Cicatriz En Mi,Latin,2
TRAINYU128F4246BD1,Heavenly,Liberty,Rock,23
TRAWEIX128F14B0F05,Pete Rock & C.L. Smooth,They Reminisce Over You (Single Version),Rap,21
TRAXQDR128F4260194,Juana Molina,Quiero,Electronic,2
TRBCBMG12903CDE2A4,Peggy Lee,Mr. Wonderful,Jazz,21
TRACVFF12903CF055A,Dinosaur Jr,On The Brink,Rock,14
TRALENK128F92F39E9,Circle Jerks,Paid Vacation,Punk,17
TRAPVGB128F42725AF,The Ataris,I Won't Spend Another Night Alone,Punk,16
TRAASFP128F42980BD,Orbital,Illuminate,Pop,1
TRAWGKB128F4268327,Disembowelment,Your Prophetic Throne Of Ivory,Metal,23
TRAQEOG128F9353981,Martin Sexton,Caught In The Rain,Folk,8
TRAJCLY128F930F893,Bad Azz,Ghetto,Rap,20
TRAPAZE128F4233355,Anti-Flag,Death Of A Nation,Punk,23
TRAQDSN128F42934A2,Sugarbomb,Posterchild for Tragedy,Rock,8
TRAXCZO12903CB819D,The Del McCoury Band,She Can't Burn Me Now,Country,17
TRBAUVN128F932FEF8,Britney Spears,Oops!...I Did It Again,Pop,9
TRBEAWP128F422B4D1,Casiotone For The Painfully Alone,Happy Mother's Day,Electronic,8
TRAGFOI128F428E060,Máire Brennan,Atlantic Shore,World,1
TRAJSNU128F92F2AC0,Chuck Wicks,If We Loved,Country,14
TRAKGAX128F4264182,Jose Luis Perales,El Amor,Latin,2
TRBFMAS128E078F352,The Cardigans,Marvel Hill,Rock,8
TRAMRFE128F4267DF3,Mando Diao,Annie's Angle,Rock,5
TRAPRQZ128F427E188,John Mayer,Comfortable,Rock,12
TRARFAZ128F93481AD,Korpiklaani,Isku Pitkästä Ilosta,Rock,3
TRAHIPA128F4279744,K's Choice,Another Year,Rock,3
TRAEPGH128F9343CD8,Los Fabulosos Cadillacs,El Mensaje Soy Yo,Reggae,2
TRAQPHD128F4226E5E,Soulwax,Soul Simplicity,Rock,19
TRAQQHJ128F9345DC3,Rise Against,1000 Good Intentions,Rock,23
TRADXMA128F4276D94,Dead Prez,Be Healthy,Rap,21
TRAYWLI128F9300223,Annie Lennox,Erased,Pop,21
TRACBWQ128F92F2B91,Ma Rainey,Ma Rainey's Black Bottom,Blues,7
TRAWDLK128EF342E1E,Redman,Suicide,Rap,20
TRBAYER128F933D3B7,Mighty Mighty Bosstones,Guns And The Young,Rock,20
TRBEBEZ128E0792F08,Patty Griffin,Let Him Fly,Folk,8
TRBBMIF12903CA1EB0,Atomic Rooster,Little Bit of Inner Air,Rock,14
TRBGNNC128F148D427,EPMD,For My People,Rap,20
TRATKAA128F426E8A0,Mary Black,Say A Little Prayer,Folk,14
TRBDEXM128F4291A7F,Baroness,Wanderlust,Metal,21
TRBEISL128F931B107,Architecture In Helsinki,The Same Old Innocence,Rock,4
TRBBEYU128F4235623,Busdriver,Unemployed Black Astronaut,Rap,1
TRAVANT128F92E3F71,Mariah Carey,Someday,RnB,22
TRBFRFR128E0781C86,Less Than Jake,Automatic,Rock,11
TRBFWSP128F92F29B4,Warrant,Bed Of Roses,Rock,16
TRAPFIP128F42AC31E,Alicia Keys,If I Was Your Woman,RnB,11
TRBGGYE128F42B63AB,Arc Angels,See What Tomorrow Brings,Blues,6
TRADWAU128F145622F,The Moody Blues,Long Summer Days,Rock,8
TRBFBUO128F42A3DED,Kent,Alla Mot Alla,Rock,13
TRBGKGR128F92EE206,Zeca Baleiro,Telegrama,Latin,2
TRBIBAQ128F93279F5,Bad Company,Crazy Circles,Rock,10
TRAMCND128F1466ACF,Beastie Boys,Get It Together,Rap,24
TRAFEEO12903CFEC87,Dark Fortress,The Silver Gate,Rock,23
TRAFYGA128F425A92C,Eurythmics,Missionary Man,Pop,21
TRAZNDI128F9321777,KRS-One,Freestyle Ministry (server Verbals),Rap,24
TRATRMZ128F42A9AAC,Kane,Rain Down On Me,Rock,8
TRAQQVR128F4255A3A,Gorillaz,White Light,Rock,18
TRACXGH128F931686C,Tommy James & The Shondells,Crimson And Clover,Rock,6
TRAROQC128F4273979,Shakira,Que Vuelvas,Latin,2
TRAKPJC128F4258613,Juliette & The Licks,Shelter Your Needs,Rock,5
TRAAABD128F429CF47,The Box Tops,Soul Deep,Rock,8
TRAJMZL12903CA4807,Luke Bryan,What Country Is,Country,5
TRAUHXR12903CBDFE4,The Pineapple Thief,Run A Mile,Rock,17
TRAOWBP128F4257C64,Jack Johnson,Monsoon,Rock,12
TRBGJIZ128F92E42BC,Free,Heartbreaker,Rock,8
TRBBXMC128F422C330,Eric Burdon,Cum,Rock,21
TRATJSR128F4266791,Jennifer Lopez featuring Ja Rule,I'm Real,RnB,20
TRAPDQG128F93018C0,Becoming The Archetype,End Of The Age,Metal,1
TRAZWDT128F4241B14,Shelby Lynne,Pretend,Country,9
TRAZEYQ12903C9D099,Johnny Winter,Shed So Many Tears,Blues,14
TRAUJLJ128E0784E7C,Fabolous,Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),Rap,21
TRAMTFQ128F9352EDB,Black Messiah,Gullveig,Metal,15
TRADUOU12903CF4323,At All Cost,Drugs,Metal,8
TRAPCIQ128F4241A74,The Cardigans,Rise & Shine,Rock,18
TRAADYB128F92D7E73,Eliane Elias,The More I See You,Jazz,14
TRAFBML128F93163FB,Vaselines,Teenage Superstars (Album),Rock,11
TRANDEK128F4259EBC,The Clash,Lose This Skin,Punk,21
TRBHHWQ128F93321AB,Bongzilla,Stone a Pig,Metal,1
TRBEIVC128F9320E95,Snow Patrol,It Doesn't Matter Where_ Just Drive,Rock,8
TRAIACZ128F428C60A,Kanye West / Adam Levine,Heard 'Em Say,Rap,6
TRAKQFZ128F429D3C9,Santana,Let It Shine,Rock,18
TRASXHB128F933D3BD,Mighty Mighty Bosstones,They Came To Boston,Rock,21
TRAWXYD128F4255FBD,K.I.Z.,Walpurgisnacht,Rap,15
TRBDVZL128F92F579F,Dickies,Pretty Please Me,Punk,10
TRAZSVT128F92DEC7B,Julie Zenatti,A Quoi Ca Sert,Pop,0
TRALSAJ128F92EDC84,Patrick Bruel,L'Appart,Pop,0
TRAFCWJ128F42515AE,Mississippi John Hurt,Waiting For You (I Forgive You Before I Go),Blues,8
TRAAOJI128F1458DCD,Heaven 17,(We Don't Need This) Fascist Groove Thang,Rock,7
TRBEFQB128F932138A,Eleanor McEvoy,Please Heart_ You're Killing Me,Folk,19
TRAKCAE128F92DACD8,Claude François,Le chanteur malheureux,Pop,0
TRACRON12903CB59E6,Everyday Sunday,Don't Leave,Rock,9
TRAOSFC128F42618F6,Harry Connick_ Jr.,Here Comes The Big Parade,Jazz,4
TRAFZHK128F145E86B,Lifer,Boring,Rock,4
TRAFTFF128F930F77C,Lollipop Lust Kill,Bury You,Metal,23
TRAGBOR128F92E1064,Emperor,With Strength I Burn,Rock,23
TRAGSGF128E0780CA7,Coldplay,One I Love,Rock,14
TRADXCF128EF357134,Snow Patrol,Shut Your Eyes,Rock,1
TRAUXEL128F42683D5,Cadacross,Bring Out Your Dead,Metal,23
TRAZSVJ128E0785129,P.O.D.,Wildfire (Album Version),Rock,23
TRBBHUW128F429476F,Dynamite Deluxe,Zornig!,Rap,15
TRAOOHM128F1453E33,Juelz Santana,Lil' Boy Fresh,Rap,20
TRAROPS128F92F09A5,Carl Belew,Am I That Easy To Forget,Country,14
TRABAFJ128F42AF24E,Backstreet Boys,Larger Than Life,Pop,8
TRBETVK128F4288B49,Hot Tuna,Hesitation Blues,Rock,7
TRAJFFF128F429874A,Lifehouse,Better Luck Next Time,Rock,12
TRAIOWX128F14750E5,30 Seconds To Mars,The Mission,Rock,20
TRAHBOV128F92EF77A,Wonderland,You,Rock,7
TRABLYQ128F429A9F8,Luar Na Lubre,Terra,Folk,2
TRBCUPT128F1462B73,Thrice,All That's Left,Rock,23
TRASHSN12903CA9E34,Alicia Keys,Wait Til You See My Smile,RnB,12
TRAPAES128E0786E60,Ideal,Roter Rolls Royce,Pop,15
TRAZJGD128F4289D2A,Gym Class Heroes,To Bob Ross With Love (Album Version),Rap,24
TRAQJMP128F92E3821,Muse,Can't Take My Eyes Off You,Rock,8
TRAWZRG128F1489B24,Pennywise,Yell Out,Punk,8
TRBGHVM128F146B47A,Charly Garcia,Tango,Rock,2
TRBBIBE128F4226E29,Soulwax,Kill Your Darlings,Rock,19
TRAMEEC128F9307A54,99 Posse,Rafaniello,Rap,15
TRAJBGL128F145C7A8,Tom Cochrane,Washed Away,Rock,10
TRANCSE128F93044F1,Shakira,Ojos Así,Latin,2
TRBGPZX128F4285105,Estopa,Apagon,Rock,2
TRADNRG128F4295A0E,Kris Kristofferson,Darby's Castle,Country,1
TRACTLX128F42A51F6,Matisyahu,Exaltation,Reggae,23
TRABXVE128F4284AFC,Simon & Garfunkel,Citizen Of The Planet,Folk,8
TRALDUE128F9312AF2,Snow Patrol,Just Say Yes,Blues,8
TRBEMTF128F42660CA,For Squirrels,Superstar,Rock,21
TRBHTOR128F428CADE,The Dillinger Escape Plan,Sugar Coated Sour,Metal,21
TRBHHUC128F4294C6F,Scott Matthews,City Headache,Rock,12
TRBADGN128F42AA534,Andy & Lucas,Quiero Ser Tu Sueño,Latin,2
TRAMUUZ128F933CA08,EPMD,Please Listen To My Demo,Rap,21
TRAWNOH128F4287513,Unkle Bob,What Do I Know,Rock,21
TRADFQK128F422B492,Casiotone For The Painfully Alone,Rice Dream Girl,Rock,8
TRANRKN128F93127BB,Hanoi Rocks,Walkin' Away,Rock,4
TRAVWZA128F931F36E,The Tragically Hip,Ahead By A Century,Rock,18
TRAAJJG128F4284B27,The Verve Pipe,Medicate Myself,Rock,17
TRBGBGO128F4264203,Firehouse,Talk Of The Town,Rock,9
TRAGJQL128E078E840,Shania Twain,Raining On Our Love,Country,14
TRAGDPS128F145F8EE,Paloalto,Seed,Rock,19
TRBBYDT128F14805B4,Phil Collins,You Can't Hurry Love (Live),Rock,14
TRACISV12903D13877,Jerry Reed,When You're Hot_ You're Hot,Country,21
TRBHKXX128F4252D02,Radiohead,Everything In Its Right Place,Rock,5
TRARQSD128F427E2AA,Pearl Jam,Wishlist,Rock,18
TRANPWV128F9341281,Behemoth,He Who Breeds Pestilence,Metal,23
TRBGCAK128F425F3CC,The Prodigy,Firestarter,Electronic,11
TRADFID128F4267231,Silverchair,Cicada,Rock,7
TRAPGKY128F42972A9,Alexisonfire,Mailbox Arson,Rock,12
TRACUCQ128F92FFBF7,Sade,Smooth Operator,RnB,1
TRAWTKK128F92C25D0,Kings Of Leon,Woo Hoo,Rock,8
TRAMFHI12903CB4349,Goatwhore,A Closure in Infinity,Metal,23
TRAKMGY128F4269E37,Johnny Horton,Got The Bull By The Horns,Country,22
TRASWIV128E0788A84,The Smashing Pumpkins,Real Love,Rock,14
TRAPCHT128F4239830,Trivium,The Deceived,Metal,13
TRAYZXR128F934858F,Rancid,The Bravest Kids (Acoustic),Punk,4
TRAAQCK128F92E8C33,Lily Allen,U Killed It,Pop,8
TRAKRXM128F4250E33,Bob Marley,Corner Stone,Reggae,1
TRBANBC128F147E363,Showbread,Dinosaur Bones,Rock,1
TRAEARU128E0781A02,David Bowie,Space Oddity (1997 Digital Remaster),Rock,11
TRBGRIP128F147FCA6,Phil Collins,Everyday,Rock,8
TRAZKAG12903CD1918,AFI,Too Shy To Scream,Rock,1
TRBHKKK128F427E9FF,3 Doors Down,Better Life,Rock,10
TRANWBG128F934AC15,Lizzy Borden,Generation Aliens,Metal,23
TRAHSAW128F4253EFC,Nick Cave & The Bad Seeds,Rock Of Gibraltar,Rock,14
TRAAMES128F42AF068,Pearl Jam,Inside Job,Rock,8
TRANKIL128F1476FA2,The Police,Voices Inside My Head,Rock,16
TRAOJEW128F4294CBD,K'Naan,Is It A Myth?,Rap,21
TRBDWLE128F42B3112,Barry Manilow,This One's For You,Pop,14
TRAWOBG128F93256C6,Dropkick Murphys,The Burden (Album Version),Rock,4
TRAVGZS128F9338603,Tammy Wynette,I Stayed Long Enough,Country,16
TRAYDZH128C71967BC,New Found Glory,Sucker,Rock,8
TRAUZFY128F42BCE57,Jason Michael Carroll,No Good In Goodbye,Country,8
TRBIFGK128F92F23A2,The Killers,A Dustland Fairytale,Rock,23
TRAULGT12903D10B94,BB King,She Don't Move Me No More,Blues,9
TRAZDPO128E078ECE6,Aerosmith,Crazy,Rock,9
TRAEZFJ128F422A5C0,Shanadoo,King Kong,Pop,7
TRAEGGV128F92F29B2,Warrant,Cherry Pie,Rock,6
TRBGHJG128F428ADB4,Lit,Lovely Day,Rock,6
TRAFRVU128F42649A6,K's Choice,My Record Company,Rock,5
TRAMIUD128E07825DB,Cracker,Dr. Bernice,Rock,1
TRACLHC128F9343C39,SUMO,Pinini Reggae,Rock,4
