"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"175",7.297,0,4,4,198.177,0,201.03791,-4.65,177.152,6,14
"176",0,1,4,0,171.508,1977,188.96934,-12.193,174.785,17,2
"177",0,1,1,2,335.333,1987,335.33342,-5.763,76.096,16,14
"178",0.166,1,4,2,348.775,2006,356.54485,-10.06,129.277,17,14
"179",2.188,1,4,10,262.373,0,262.37342,-11.291,129.047,2,6
"180",2.606,1,3,10,175.514,2009,180.13995,-4.422,121.354,12,14
"181",0.171,1,1,7,136.638,1994,143.64689,-11.661,156.079,8,10
"182",0.496,1,4,1,189.57,1997,189.57016,-3.492,169.237,16,7
"183",0.27,1,4,2,203.395,2009,212.92363,-5.429,209.739,23,14
"184",6.751,1,4,0,156.723,1996,165.40689,-12.987,147.508,21,14
"185",0,1,5,0,167.729,1989,171.10159,-6.176,115.737,2,12
"186",0.293,1,1,3,189.219,1994,195.3171,-13.141,93.312,8,2
"187",0,0,4,11,222.275,2001,222.27546,-6.338,160.783,23,7
"188",3.791,1,3,4,161.773,0,168.48934,-10.38,89.219,14,2
"189",0.183,1,3,4,164.148,1964,172.72118,-7.343,107.455,3,14
"190",0.067,1,4,0,167.445,2004,171.72853,-5.92,86.007,20,11
"191",0,1,4,2,501.054,1991,501.05424,-8.508,148.642,0,14
"192",0.38,1,3,0,514.049,1994,528.14322,-12.797,175.663,1,1
"193",0.334,1,4,2,179.664,2010,196.20526,-7.045,107.042,8,14
"194",0,1,4,4,211.656,2009,225.67138,-12.637,103.647,8,14
"195",0.125,1,7,1,227.552,0,227.5522,-5.355,64.734,16,12
"196",0.2,1,4,0,209.572,2003,216.92036,-8.238,123.943,3,9
"197",2.218,1,1,10,71.21,1984,78.96771,-21.997,59.253,23,13
"198",0.102,0,4,10,225.495,2007,233.42975,-6.209,220.031,8,9
"199",0.403,1,4,9,153.925,1988,159.60771,-9.224,125.1,5,14
"200",0.125,1,4,1,241.458,2006,254.51057,-4.952,91.97,5,14
"201",0.104,1,5,10,219.649,2006,225.20118,-3.198,142.946,7,9
"202",14.518,1,4,2,301.552,1999,323.7873,-6.994,122,12,14
"203",0,1,4,7,267.476,2004,276.45342,-6.51,150.012,13,7
"204",0.172,0,3,4,80.167,2005,82.85995,-19.368,159.212,18,14
"205",0,1,4,10,167.277,2003,170.84036,-2.323,145.18,23,14
"206",0.299,0,4,11,198.089,0,207.17669,-6.186,189.825,11,14
"207",0,1,4,10,299.508,2007,317.36118,-4.061,112.277,23,14
"208",5.317,1,4,10,218.506,1991,237.45261,-13.486,158.57,23,12
"209",0.397,1,1,5,268.301,0,271.22893,-10.913,80.864,8,1
"210",0.214,1,4,2,143.941,0,149.18485,-7.848,120.183,7,14
"211",0.49,1,4,9,391.872,2008,409.96526,-2.93,116.49,23,14
"212",0,0,3,4,219.794,2006,233.66485,-11.104,160.052,10,14
"213",0.188,0,4,6,243.287,2000,247.562,-6.57,106.435,20,11
"214",2.519,1,4,1,223.266,2008,227.70893,-8.901,87.953,18,14
"215",0.113,1,5,4,260.777,0,274.78159,-5.958,92.998,20,11
"216",0.084,0,4,4,175.525,2006,184.00608,-2.895,127.15,5,14
"217",7.007,0,1,1,196.545,2003,210.54649,-12.26,130.325,12,14
"218",0,0,4,2,136.214,2009,140.40771,-4.459,207.974,23,14
"219",0.119,1,4,8,211.598,2005,219.81995,-3.67,91.011,23,14
"220",0,1,5,6,120.868,2000,120.86812,-6.72,170.081,21,11
"221",2.322,1,4,9,217.641,2008,229.45914,-3.8,82.282,8,14
"222",2.02,1,4,7,277.211,2000,289.30567,-2.973,174.69,21,11
"223",0,1,4,4,141.56,2001,153.33832,-5.92,133.986,12,14
"224",0,1,4,7,404.584,1996,404.58404,-8.087,119.713,12,14
"225",0.531,1,4,4,219.458,1995,222.30159,-7.3,161.456,5,14
"226",0.102,0,3,10,439.478,1994,441.96526,-6.962,133.903,12,3
"227",0.27,1,4,7,173.099,2005,184.55465,-8.7,86.971,18,9
"228",0,0,7,10,253.301,2000,265.61261,-5.145,153.211,23,7
"229",0.328,0,1,4,269.903,1993,273.78893,-10.27,193.575,2,6
"230",0.357,1,4,8,258.664,1995,261.79873,-7.51,200.199,23,7
"231",0.194,1,4,2,202.879,1998,210.07628,-8.522,189.616,12,14
"232",0.142,1,4,7,197.277,0,204.25098,-5.145,168.459,13,14
"233",5.358,0,4,5,250.955,1986,269.94893,-4.357,124.973,21,9
"234",0.375,0,4,5,249.388,2003,260.20526,-6.259,149.913,14,13
"235",0.078,1,4,9,146.588,2007,148.92363,-4.912,95.611,10,14
"236",0.078,1,4,5,215.911,2001,228.62322,-4.739,104.587,4,14
"237",0.108,1,5,3,287.794,0,291.13424,-12.446,93.331,17,5
"238",0.073,1,1,4,204.138,1981,217.96526,-10.011,107.657,7,14
"239",0,1,4,1,195.889,2003,200.38485,-5.167,85.012,22,11
"240",0,1,4,7,148.225,1983,151.37914,-12.581,112.88,14,2
"241",0.461,1,4,7,128.496,0,128.49587,-4.625,185.409,8,14
"242",0.428,1,4,7,329.59,2000,340.50567,-13.807,96.311,0,15
"243",0,1,4,11,508.969,0,508.96934,-4.277,162.733,23,14
"244",0.421,1,4,9,191.402,1986,210.46812,-13.644,114.382,4,2
"245",0.177,1,5,2,341.769,2005,380.682,-7.736,110.255,2,14
"246",0.259,1,4,4,136.661,2006,145.55383,-5.603,201.123,17,10
"247",8.702,0,4,4,264.202,0,289.59302,-5.247,152,19,14
"248",0.142,1,3,11,412.758,2005,419.68281,-6.407,91.498,23,7
"249",2.554,1,5,0,216.874,0,244.74077,-12.121,84.826,1,15
"250",3.512,1,4,0,278.558,0,289.2273,-5.676,162.069,8,14
"251",0.427,0,3,4,476.7,2002,515.36934,-4.694,129.088,1,14
"252",0.142,0,5,9,277.885,1983,313.70404,-14.361,85.207,22,14
"253",0.177,1,4,9,262.844,1978,278.96118,-5.563,80.7,5,14
"254",3.454,1,4,7,306.556,2009,316.96934,-7.896,187.844,1,14
"255",0,1,5,6,266.437,1995,278.54322,-11.958,82.789,14,2
"256",0.286,1,4,7,142.646,1988,151.01342,-10.133,131.966,4,14
"257",0.16,1,7,0,386.984,1999,391.02649,-7.078,110.897,23,7
"258",0.247,1,4,7,238.782,1999,257.2273,-8.086,105.994,0,9
"259",0,0,4,5,230.284,2002,235.04934,-9.642,90.507,8,11
"260",0.085,1,3,0,178.033,1998,181.18485,-7.301,121.764,2,6
"261",0.148,1,3,10,245.232,0,254.35383,-6.367,168.36,14,1
"262",0,0,4,2,191.216,2007,203.91138,-3.237,140.878,17,14
"263",0.113,0,4,9,165.605,2009,176.43057,-2.741,140.111,12,14
"264",0.305,1,4,2,223.312,1999,231.73179,-6.378,110.071,8,14
"265",0.061,0,4,2,166.429,2007,175.80363,-5.911,93.061,23,14
"266",0,0,4,4,262.246,0,280.81587,-12.346,108.047,14,14
"267",0.241,0,1,2,297.001,1967,309.52444,-18.581,84.853,2,5
"268",0,1,4,0,72.464,1991,84.63628,-18.7,166.092,8,11
"269",0.322,1,4,2,258.305,2002,274.41587,-7.446,134.027,14,14
"270",0,1,1,9,166.487,2001,171.59791,-4.029,93.458,23,7
"271",2.734,0,4,6,293.245,1995,298.00444,-5.16,87.747,20,11
"272",0,1,4,10,326.06,1997,332.93016,-8.416,119.461,18,14
"273",2.258,1,4,1,74.449,1959,80.03873,-13.136,196.303,13,2
"274",0,1,3,10,274.408,0,283.66322,-7.589,125.994,16,14
"275",0.136,1,4,2,212.579,2007,220.70812,-3.868,253.357,8,14
"276",0.369,1,4,9,224.293,0,237.60934,-5.88,103.218,17,14
"277",0,0,4,4,172.303,0,172.30322,-6.485,123.976,7,14
"278",0.229,0,1,1,100.833,1999,104.93342,-5.625,60.017,21,11
"279",0,1,7,4,164.368,1984,169.53424,-5.914,163.748,6,12
"280",3.291,1,4,7,216.213,2001,222.92853,-5.057,118.056,2,15
"281",1.221,1,4,9,246.044,0,254.58893,-16.261,142.479,16,2
"282",0,1,4,1,387.634,1989,398.44526,-9.244,150.3,1,14
"283",0,1,1,2,127.477,2006,127.4771,-2.445,161.874,7,14
"284",0.258,1,4,0,76.788,1997,79.93424,-22.214,50.059,20,11
"285",0,0,4,6,225.303,2009,228.38812,-5.98,122.988,22,9
"286",0.286,1,1,8,144.782,1995,149.36771,-12.625,177.866,8,14
"287",0,1,4,9,207.569,2000,207.56853,-11.622,171.648,3,14
"288",0.318,1,4,5,208.718,1989,219.76771,-16.205,107.905,24,11
"289",0.334,0,4,10,218.25,2000,235.65016,-3.053,115.418,23,14
"290",0,1,3,4,210.686,2006,219.89832,-3.926,165.224,16,14
"291",0,0,5,9,313.934,1975,319.00689,-14.886,109.305,2,14
"292",2.961,1,4,5,269.886,1988,283.24526,-6.951,97.882,3,14
"293",2.038,1,4,2,151.005,2007,163.00363,-4.993,160.051,1,9
"294",0.195,1,3,7,169.14,2003,180.03546,-8.537,158.404,14,14
"295",0,1,4,4,261.149,0,265.58649,-8.723,93.001,1,5
"296",0.085,0,4,11,113.766,2005,119.7971,-5.535,161.909,4,14
"297",0,0,3,2,150.988,0,159.76444,-10.012,128.961,12,7
"298",0,1,4,1,237.583,0,237.58322,-2.664,94.819,3,11
"299",0,0,4,9,185.939,2003,185.93914,-6.738,210.691,8,14
"300",0.165,1,4,8,212.103,2001,231.54893,-9.781,103.046,12,14
"301",0.067,1,4,2,194.99,2008,200.35873,-4.793,98.784,23,14
"302",0.177,1,1,5,182.793,1996,189.3873,-16.111,164.641,21,1
"303",0.288,1,4,2,247.728,1992,257.25342,-4.925,93.156,8,9
"304",0,1,4,6,196.499,2005,204.5122,-11.38,95.098,6,11
"305",0.142,0,4,1,265.184,1994,283.89832,-7.275,90.199,14,13
"306",0,1,4,2,248.581,1991,251.14077,-10.086,102.829,24,11
"307",3.077,0,4,11,219.852,2007,225.27955,-6.205,127.006,20,14
"308",17.09,1,4,1,459.337,2006,459.33669,-7.57,115.37,23,14
"309",0.173,1,1,7,156.415,2003,168.82893,-6.538,125.875,4,14
"310",0.45,1,4,1,183.089,1975,192.57424,-7.98,110.28,14,9
"311",0.212,0,3,2,151.011,1992,163.13424,-9.429,85.82,19,14
"312",0.334,0,4,4,121.574,2001,125.67465,-9.089,124.916,14,2
"313",0.444,1,4,7,294.963,1996,315.08853,-9.29,153.768,22,14
"314",0,0,4,10,152.764,2006,161.51465,-5.095,78.971,24,11
"315",0.322,0,4,0,181.725,0,195.70893,-4.222,128.968,20,13
"316",2.014,0,4,10,229.883,2000,236.2771,-2.801,103.997,8,9
"317",0,0,4,4,323.512,0,327.6273,-4.283,175.007,23,14
"318",0.224,1,4,8,224.81,2002,245.02812,-4.675,190.102,20,14
"319",0.473,0,4,5,373.696,2009,397.60934,-7.038,131.955,8,11
"320",5.445,1,4,0,288.496,2008,300.01587,-5.663,198.016,1,7
"321",0.148,1,4,3,228.27,2005,241.65832,-9.635,131.761,12,13
"322",0.684,0,4,4,267.453,2005,273.00526,-6.728,117.844,8,13
"323",0,0,4,4,553.332,1990,573.67465,-17.629,119.712,12,8
"324",0,0,1,11,347.638,2004,352.49587,-5.827,105.05,23,7
"325",2.264,0,4,1,231.329,2004,249.05098,-15.775,95.576,14,3
"326",1.468,1,4,7,165.309,1994,176.5873,-15.608,79.151,16,1
"327",0.218,0,4,11,230.963,1978,247.95383,-17.664,119.389,17,14
"328",0,1,3,2,188.5,1996,197.53751,-4.347,80.375,8,14
"329",0.217,0,4,10,266.252,0,280.65914,-9.923,122.954,2,13
"330",0.125,1,4,0,230.023,2005,235.98975,-8.298,85.976,10,13
"331",0,0,4,4,242.155,2004,242.15465,-8.702,72.884,1,12
"332",0.218,1,4,3,249.255,2008,260.51873,-6.857,45.508,21,2
"333",0.078,1,1,2,259.297,2004,262.89587,-7.628,145.997,23,7
"334",0,1,4,5,294.702,1992,320.44363,-11.415,88.072,10,14
"335",0.345,1,4,4,141.038,1990,145.13587,-12.653,91.318,4,2
"336",0.305,0,4,0,145.131,0,154.74893,-9.059,177.945,21,2
"337",0.167,1,4,1,255.843,2003,255.84281,-7.532,121.871,20,11
"338",0,0,4,8,362.162,1994,366.39302,-6.788,177.662,20,11
"339",0.165,1,3,11,116.878,1994,121.73016,-12.744,151.73,21,2
"340",0.113,0,4,9,347.469,1999,366.28853,-13.018,131.948,8,9
"341",0,1,4,7,203.372,1997,213.13261,-5.382,91.922,12,14
"342",0,0,4,1,203.9,2005,215.82322,-4.176,164.002,12,14
"343",3.553,0,4,1,249.678,2005,252.65587,-7.825,151.699,6,14
"344",0,1,4,2,235.096,2002,237.66159,-4.651,151.284,16,1
"345",0.311,0,5,1,181.685,1956,184.76363,-11.242,126.31,0,15
"346",0.467,1,3,10,330.252,1997,341.68118,-7.422,112.063,1,7
"347",0,1,4,9,283.074,1960,286.82404,-6.615,134.741,14,1
"348",0,0,3,1,277.809,1990,285.3873,-10.181,169.866,7,14
"349",0.356,1,3,7,226.035,0,231.18322,-8.029,90.038,6,9
"350",0,0,4,9,233.111,1985,236.09424,-11.326,119.035,0,15
"351",2.664,0,4,1,267.738,0,294.73914,-10.647,101.303,8,14
"352",0.115,1,1,10,227.056,1986,229.8771,-9.406,125.676,8,14
"353",2.026,1,4,7,179.095,1994,179.09506,-5.15,105.498,2,14
"354",0.183,0,4,7,183.844,2009,192.44363,-4.43,147.904,5,2
"355",0.612,0,4,11,304.007,2004,312.08444,-8.775,119.562,18,3
"356",0.282,1,4,0,203.79,0,208.14322,-11.865,98.528,1,14
"357",0,1,4,1,264.069,2006,277.02812,-6.425,119.813,23,14
"358",1.465,1,4,9,201.288,1982,203.91138,-6.267,183.907,5,14
"359",0.136,1,4,1,202.182,2008,222.01424,-5.278,99.124,14,2
"360",10.083,1,1,4,150.245,2008,156.55138,-8.038,127.792,0,14
"361",0.223,1,4,10,224.386,2007,230.55628,-4.883,87.992,8,13
"362",0.369,0,4,2,197.825,1975,197.82485,-11.292,142.88,18,14
"363",0.45,1,5,1,178.498,0,188.94322,-5.322,125.528,13,14
"364",0.101,1,4,5,292.49,1996,304.71791,-7.269,227.161,14,14
"365",0.254,1,1,1,168.855,1989,168.85506,-9.515,197.213,12,12
"366",0.154,1,1,4,156.868,1989,163.26485,-12.778,114.135,7,14
"367",0,1,3,2,210.285,1986,210.28526,-10.223,128.262,4,14
"368",0,1,4,2,237.215,2003,246.85669,-4.544,145.711,12,14
"369",0.386,1,4,7,174.266,1964,183.17016,-11.553,185.333,10,14
"370",0,0,4,6,186.903,1994,197.25016,-12.472,134.237,0,9
"371",0.38,1,4,11,167.457,0,182.33424,-9.068,168.849,4,2
"372",0,1,3,6,274.466,1989,281.33832,-8.762,83.856,24,11
"373",0.322,0,4,0,263.216,1979,274.72934,-9.727,164.594,14,5
"374",0,1,4,1,119.983,2001,125.46567,-5.059,110.972,13,14
