TRBBOUN128F425A4E6,Rick Astley,Hopelessly,Pop|Rock,12|0.368271544578,14|0.29497782419,8|0.180188901803,21|0.0612961661266,16|0.0455773751232,23|0.0171357776383,19|0.0151420572197,1|0.00215672361872,18|0.00156411716476,9|0.00143506505888,5|0.00135397096764,4|0.00129517107198,17|0.0012777458374,20|0.00112196789633,10|0.00103963888834,3|0.000971405440749,22|0.00092454441405,24|0.000915101889018,6|0.000882022095232,11|0.000835310543664,7|0.000817713260838,13|0.000371228972098,2|0.000289620512439,0|9.4415539343e-05,15|6.45901497964e-05
TRAXUPN128F42855C8,W.A.S.P.,Heaven's Hung In Black (Reprise),Rock|Metal,1|0.436724656444,12|0.318778210294,4|0.0983959532086,18|0.0507100245698,5|0.0503633359015,8|0.00848888865908,14|0.00534341249157,21|0.00486409925054,23|0.0042049362785,16|0.00299683653527,9|0.00236749844139,17|0.00210796107106,20|0.0018509664279,10|0.00171514415497,3|0.00160257603145,22|0.00152526705721,24|0.00150968925246,6|0.00145511586587,11|0.00137805348821,7|0.00134902237258,19|0.000915796211722,13|0.000612434960634,2|0.000477801412243,0|0.000155762026853,15|0.000106557593348
TRAZCSY128F42683F2,Pretty Boy Floyd,Shut Up,Rock,12|0.31513580693,19|0.175310867775,20|0.137270708159,23|0.0809771764882,9|0.0794961458727,24|0.0788047256541,1|0.0610588026392,14|0.0237039200868,10|0.0207794257834,8|0.00684230167762,21|0.00392061149565,16|0.00241554112398,18|0.00207988237379,5|0.00180044079411,4|0.00172225172407,17|0.00169908054542,3|0.00129172487812,22|0.00122941150055,6|0.00117286751306,11|0.00111075289981,7|0.00108735294027,13|0.000493641149846,2|0.000385122427194,0|0.000125548916996,15|8.5888651508e-05
TRAPZQI128F428CF18,Amorphis,And I Hear You Call,Metal,23|0.195685038706,7|0.191924049958,21|0.164861847749,12|0.134581754516,3|0.097184205183,18|0.0667806656978,8|0.0428703745844,14|0.0387280576721,16|0.0356378224414,1|0.00468564658528,9|0.00311778831298,5|0.00294160521357,4|0.00281385795477,17|0.00277600030338,20|0.00243756084302,10|0.00225869479277,22|0.00200864326751,24|0.00198812866156,6|0.0019162602861,11|0.00181477587698,19|0.0012060234871,13|0.00080652326073,2|0.000629222656697,0|0.000205124961622,15|0.000140327027631
TRAVVBW128F42819B2,Belle & Sebastian,Stay Loose,Rock,16|0.213786244743,8|0.207919618475,12|0.19191029441,21|0.13076049453,4|0.0766890798668,14|0.0624991595028,22|0.0460902814253,23|0.0393353003728,10|0.0157445975317,20|0.00818608485232,1|0.00112389205933,18|0.00081507841157,9|0.000747827960105,5|0.000705568949996,17|0.000665847208255,3|0.00050620990644,24|0.000476869515231,6|0.000459631276062,11|0.000435289380128,7|0.00042611924527,19|0.00028927495829,13|0.000193451441953,2|0.000150924388885,0|4.92009611357e-05,15|3.3658627298e-05
TRBHZUN12903CA60F7,Charlotte Gainsbourg,IRM,Pop|Rock,12|0.707355238011,8|0.10915384414,21|0.0557715440295,24|0.0493046352558,14|0.0103014721346,23|0.00810662361723,1|0.00685951162683,16|0.00577754910533,18|0.00497471246861,9|0.00456425912489,5|0.00430633740655,4|0.00411932291642,17|0.00406390153644,20|0.00356844602756,10|0.00330659662663,3|0.00308957849644,22|0.00294053586776,6|0.00280529260441,11|0.00265672538499,7|0.0026007568014,19|0.00176554761043,13|0.00118070272343,2|0.000921145043896,0|0.000300290906194,15|0.000205430533454
TRAASQC128F93480F0,Rise Against,Amber Changing,Punk|Rock,8|0.583817555356,22|0.116645128587,1|0.101526031171,16|0.0681127791393,4|0.0510084680627,17|0.0344746778373,12|0.0205873106008,14|0.00366682494188,21|0.00333790447206,23|0.00288556521686,18|0.00177075659869,9|0.00162465509606,5|0.00153284746143,20|0.00127019388361,10|0.00117698818429,3|0.00109974024514,24|0.00103599829026,6|0.000998548242107,11|0.000945665510534,7|0.000925743406623,19|0.000628449403096,13|0.000420272960861,2|0.000327883003314,0|0.000106889012586,15|7.31233161678e-05
TRAEVRU128F4263351,Teena Marie,Light,RnB|Rock,23|0.241630469795,18|0.23898879203,1|0.162314311756,14|0.126085380002,7|0.11959004616,5|0.0427644001466,8|0.0138039010074,12|0.00965206736857,21|0.00790958006883,16|0.00487319795671,9|0.0038498224482,4|0.00347453144116,17|0.00342778508717,20|0.00300988249049,10|0.00278901998594,3|0.00260597138016,22|0.00248025817196,24|0.00245492688498,6|0.00236618433501,11|0.00224087212097,19|0.00148918907494,13|0.000995889086257,2|0.000776959583363,0|0.000253286818303,15|0.000173274798296
TRAPIIR128F42AEE95,RUN-DMC,Miss Elaine,Rap,22|0.426101848069,21|0.215466564049,9|0.0864350877367,4|0.0721257089233,8|0.0616935017835,14|0.0598409108777,24|0.0292360623615,16|0.0159384970181,5|0.0154890404744,12|0.00349592795926,23|0.00247658106245,1|0.0020955871883,18|0.00151977929069,17|0.00124152570294,20|0.0010901635837,10|0.00101016834793,3|0.000943869107108,6|0.000857019502418,11|0.000811632078567,7|0.000794533624171,19|0.000539376438738,13|0.000360705781261,2|0.00028141066851,0|9.17391514176e-05,15|6.27592192291e-05
TRADHLI128F428FEFD,Suicidal Tendencies,Human Guinea Pig,Metal|Punk,12|0.567296385524,23|0.294343819914,8|0.06503320443,1|0.0222648674709,13|0.019890608734,14|0.00430695250269,21|0.00392061149565,16|0.00241554112398,18|0.00207988237379,9|0.00190827553616,5|0.00180044079411,4|0.00172225172407,17|0.00169908054542,20|0.00149193506989,10|0.00138245819921,3|0.00129172487812,22|0.00122941150055,24|0.00121685531754,6|0.00117286751306,11|0.00111075289981,7|0.00108735294027,19|0.000738159517397,2|0.000385122427194,0|0.000125548916996,15|8.5888651508e-05
TRANRWM128F42873F9,Eyes Set to Kill,Liar in the Glass,Rock,1|0.540686701911,7|0.128355587111,12|0.102710080671,5|0.100529742799,16|0.0301119474056,18|0.0298666800656,24|0.0292360623615,6|0.0150304698899,8|0.00499970023371,14|0.00314710932795,21|0.00286480823773,23|0.00247658106245,9|0.00139438541205,4|0.00125845698612,17|0.00124152570294,20|0.0010901635837,10|0.00101016834793,3|0.000943869107108,22|0.000898336445283,11|0.000811632078567,19|0.000539376438738,13|0.000360705781261,2|0.00028141066851,0|9.17391514176e-05,15|6.27592192291e-05
TRBETHV128F429722F,Andy & Lucas,Hasta Los Huesos,Pop|Latin,2|0.968140117225,8|0.00443408382921,12|0.00310043340753,14|0.0027910766501,21|0.00254071230012,23|0.0021964052898,1|0.0018585132768,16|0.00156536679341,18|0.00134784656316,9|0.00123663850196,5|0.001166757297,4|0.00111608766747,17|0.00110107182143,20|0.000966833308338,10|0.000895887938665,3|0.000837089135164,22|0.000796707586259,24|0.000788570679895,6|0.00076006483176,11|0.000719812090048,7|0.000704647984882,19|0.000478356748018,13|0.000319899113353,0|8.13606954e-05,15|5.56592647778e-05
TRBDDKF128F426BF7B,Fleet Foxes,English House,Rock|Folk,14|0.35046214583,1|0.250152597266,17|0.216129369731,12|0.0701294992992,5|0.0675890990592,23|0.0193996281163,8|0.00582535387509,21|0.00333790447206,16|0.00205652754146,18|0.00177075659869,9|0.00162465509606,4|0.00146627936437,20|0.00127019388361,10|0.00117698818429,3|0.00109974024514,22|0.00104668829091,24|0.00103599829026,6|0.000998548242107,11|0.000945665510534,7|0.000925743406623,19|0.000628449403096,13|0.000420272960861,2|0.000327883003314,0|0.000106889012586,15|7.31233161678e-05
TRBAIKM12903CBCF21,Colin James,Better Days,Blues|Rock,8|0.432127195511,14|0.361411911799,17|0.0839038149117,21|0.0716995987632,1|0.0158205733527,11|0.0145720111129,12|0.00339956094254,23|0.00240831285687,16|0.00171639223042,18|0.00147788580833,9|0.00135594847517,5|0.00127932518295,4|0.00122376698483,20|0.00106011267489,10|0.000982322548126,3|0.000917850879306,22|0.000873573348261,24|0.000864651399155,6|0.000833395327755,7|0.000772631904245,19|0.00052450825527,13|0.000350762744546,2|0.000273653441556,0|8.92103154573e-05,15|6.10292297102e-05
TRAUZVU12903CC050D,The Shangri-Las,Remember (Walkin' In the Sand),Rock|Pop,14|0.348245762666,21|0.189809924827,3|0.144729692092,18|0.073427755883,12|0.0610550908095,4|0.0587854512122,17|0.0443910512275,11|0.0439549769256,8|0.0194488073269,23|0.0025121874263,1|0.0021257159174,16|0.0017904231037,9|0.00141443280524,5|0.00133450462202,20|0.00110583711113,10|0.00102469176583,22|0.000911252030731,24|0.000901945263009,6|0.00086934106487,7|0.000805956813075,19|0.000547131175307,13|0.000365891729537,2|0.000285456573087,0|9.30581058643e-05,15|6.36615226622e-05
TRANYAM12903CD9CFC,Dax Riggs,Night is the Notion,Rock,16|0.605248656545,12|0.170886259684,18|0.112359156439,21|0.0328858719678,9|0.0300477804793,8|0.00965001796137,14|0.00607429648208,23|0.00478009692948,1|0.00404473329629,5|0.00253924582986,4|0.00242897212872,17|0.00239629273212,20|0.00210414578309,10|0.00194974543389,3|0.001821779989,22|0.00173389651921,24|0.00171618794725,6|0.00165414988999,11|0.00156654674682,7|0.00153354468983,19|0.00104106087934,13|0.000696205193358,2|0.00054315616511,0|0.000177067507562,15|0.000121132780865
TRAEWLF128F42B1F89,Information Society,More to This,Pop|Electronic,8|0.337019786708,12|0.224931992872,18|0.134064337535,21|0.0922440057708,23|0.0696909697963,14|0.0487777276877,1|0.0251973845826,4|0.0239008425129,10|0.0235162946087,16|0.00273369328407,9|0.00215961548556,5|0.00203757777435,17|0.00192286731532,20|0.00168843860299,3|0.00146185862419,22|0.00139133791971,24|0.0013771279554,6|0.00132734649463,11|0.00125705073383,7|0.00123056875361,19|0.000835382885952,13|0.000558658878825,2|0.000435847099565,0|0.000142085029234,15|9.72010898407e-05
TRBBMPH128F1469775,Mike And The Mechanics,Seeing Is Believing,Rock,21|0.353731687239,14|0.148048258257,8|0.137518341763,18|0.110317822559,23|0.0869091102299,1|0.0502438450047,5|0.0495772271965,10|0.0250897664096,4|0.0131887467934,13|0.0124214914543,12|0.00298776473617,16|0.00150848190874,9|0.00119169948903,17|0.00106105925451,20|0.000931698922284,3|0.000806669607223,22|0.000767755509757,24|0.000759914295739,6|0.000732444340208,11|0.000693654369125,7|0.000679041322265,19|0.00046097343022,2|0.000240505205357,0|7.84040760353e-05,15|5.36366264601e-05
TRABHVL128F92EFB0E,Bullet For My Valentine,Suffocating Under Words Of Sorrow (What Can I Do),Metal,12|0.343237604183,6|0.340706326541,8|0.154344856977,22|0.0960292900237,10|0.0281597084317,14|0.0166141214376,21|0.00274796384985,23|0.00237557095139,1|0.00201011633583,16|0.00169305724219,18|0.00145779340326,9|0.00133751385332,5|0.00126193228314,4|0.00120712941931,17|0.00119088869733,20|0.00104570005035,3|0.000905372356574,24|0.000852896143063,11|0.000778528762208,7|0.000762127687277,19|0.00051737737123,13|0.00034599399509,2|0.00026993302164,0|8.79974681697e-05,15|6.01995147233e-05
TRAIZWI128F4247EFD,Ashton Shepherd,Old Memory,Country,21|0.392579626864,12|0.181182086165,16|0.179022726821,7|0.0717195174967,8|0.0592835946149,14|0.0392903221458,20|0.0367241814522,23|0.0207717307916,1|0.00261434779008,18|0.0018959991988,9|0.00173956418557,5|0.00164126315321,4|0.00156998680796,17|0.00154886420184,10|0.00126023455514,3|0.00117752300074,22|0.00112071877209,24|0.00110927268589,6|0.00106917385958,11|0.00101255082241,19|0.000672898559653,13|0.000449998152008,2|0.000351073610027,0|0.000114449090504,15|7.82952038524e-05
TRAHVUK128F1456988,The Roots,The Ultimate,Rap,3|0.226936189447,24|0.16461060182,23|0.153917014153,20|0.119379125615,12|0.0976846137404,4|0.0741345784458,21|0.0577845812254,8|0.0416457987414,5|0.0345095845914,1|0.0234933358887,14|0.00125764356642,16|0.000705345543534,18|0.000607332141385,9|0.000557222409465,17|0.00049613681958,10|0.000403682106778,22|0.000358991993337,6|0.000342480972598,11|0.000324343311763,7|0.00031751045058,19|0.000215544881785,13|0.000144144755679,2|0.000112456950138,0|3.66606754155e-05,15|2.50797541718e-05
TRABGMB12903CF50FE,Die Fantastischen Vier,Böse,Rap,15|0.965215496758,22|0.0191996000709,8|0.00221085090893,12|0.00154588778226,14|0.00139164133707,21|0.00126680872857,23|0.00109513595556,1|0.000926661724389,16|0.000780497782926,18|0.00067204137631,9|0.000616592617861,5|0.000581749585692,4|0.000556485517441,17|0.000548998560011,20|0.00048206673145,10|0.000446693102744,3|0.00041737579771,24|0.000393184313052,6|0.000378971189735,11|0.000358901021008,7|0.00035134014102,19|0.000238510477448,13|0.00015950290359,2|0.000124438866967,0|4.0566749368e-05
TRBFXVN128E078CF62,Cactus,Bro. Bill  (LP Version),Rock,21|0.670012981956,12|0.206775642287,8|0.0676579214483,1|0.0231634696092,14|0.00448077957503,23|0.00352609734336,16|0.00251303150527,18|0.00216382568722,9|0.0019852928586,5|0.00187310594469,4|0.00179176119157,17|0.00176765483238,20|0.00155214903908,10|0.00143825372081,3|0.00134385843513,22|0.00127903011179,24|0.00126596716569,6|0.00122020402905,11|0.00115558249209,7|0.0011312381185,19|0.000767951373181,13|0.000513564331216,2|0.000400665831484,0|0.000130616026667,15|8.93550869584e-05
TRAAQBF12903CF796B,Hem,Have Yourself A Merry Little Christmas,Rock,18|0.822673371086,3|0.0475039932157,17|0.0323385166455,10|0.0320856558291,1|0.017781159902,6|0.0164274737992,8|0.0054643963359,12|0.00382085625901,14|0.00343961675229,21|0.00313107724574,23|0.00270676637611,16|0.001929098524,9|0.00152398627523,5|0.00143786733498,4|0.00137542400992,20|0.00119148861208,22|0.000981832140037,24|0.000971804525983,11|0.000887069053923,7|0.000868381387226,19|0.000589508670067,13|0.000394231505355,2|0.000307566324781,0|0.000100265827836,15|6.85923618554e-05
TRAFWEV128F428D391,Cake,Alpha Beta Parking Lot,Rock,12|0.372310584419,18|0.357805663571,5|0.128481845463,21|0.117143267413,8|0.0044905298207,14|0.00282660712153,23|0.00222436558083,1|0.00188217219454,16|0.00158529394952,9|0.00125238093919,4|0.00113029548974,17|0.00111508849163,20|0.000979141119105,10|0.000907292613206,3|0.000847745299553,22|0.00080684969258,24|0.000798609203207,6|0.000769740474954,11|0.000728975314893,7|0.000713618170311,19|0.000484446240677,13|0.000323971436593,2|0.000252751753052,0|8.2396418967e-05,15|5.63678085281e-05
TRAVYXL128EF34722F,Novembre,Reason,Metal,8|0.242067710488,12|0.24049715776,18|0.179221755938,1|0.0910058919986,5|0.0901912563013,10|0.0750693974252,21|0.0325977779794,4|0.0161172171046,24|0.0157315218055,14|0.0032868681144,23|0.00258656261307,16|0.00184342991813,9|0.00145630814581,17|0.00129666014776,20|0.00113857624548,3|0.000985785032876,22|0.000938230328314,6|0.000895078556978,11|0.000847675540208,7|0.000829817767025,19|0.000563329402764,13|0.000376724227715,2|0.000293907728328,0|9.58131606546e-05,15|6.55462696312e-05
TRAZRAR128F1477778,The Four Pennies,Juliet,Pop,14|0.653140251526,17|0.114967187977,8|0.0942990562163,21|0.0619366902249,12|0.035063213382,23|0.00491454133511,1|0.00415849495677,16|0.00350256842238,18|0.00301585853885,9|0.00276702622357,5|0.00261066433903,4|0.00249728909362,20|0.00216332672301,10|0.00200458372899,3|0.00187301914407,22|0.00178266387485,24|0.00176445723383,6|0.00170067430196,11|0.00161060724379,7|0.00157667697509,19|0.00107034162683,13|0.000715786573151,2|0.000558432907165,0|0.000182047686032,15|0.00012453974624
TRAGBHV128F4295074,Goldfinger,I'm Down,Rock|Punk,8|0.390535078284,9|0.183603693579,21|0.145337602098,19|0.142026707489,23|0.104425208855,12|0.00497741926425,14|0.00448077957503,1|0.00298364730696,16|0.00251303150527,18|0.00216382568722,5|0.00187310594469,4|0.00179176119157,17|0.00176765483238,20|0.00155214903908,10|0.00143825372081,3|0.00134385843513,22|0.00127903011179,24|0.00126596716569,6|0.00122020402905,11|0.00115558249209,7|0.0011312381185,13|0.000513564331216,2|0.000400665831484,0|0.000130616026667,15|8.93550869584e-05
TRAUJPQ128F930D4C5,Showbread,Nothing Matters Anymore,Rock|Punk,23|0.562804163125,12|0.158537890333,17|0.0971740423813,16|0.0913568428594,14|0.0375830583816,7|0.0184595332758,6|0.01244585414,21|0.00726120601736,20|0.00650490452412,8|0.00213072557593,1|0.000893077786667,18|0.000647685351738,9|0.000594246159026,5|0.000560665902896,4|0.000536317451285,10|0.00043050411711,3|0.000402249325527,22|0.000382844640735,24|0.000378934585092,11|0.000345893783069,19|0.000229866415856,13|0.000153722222852,2|0.00011992897188,0|3.90965352127e-05,15|2.67461382255e-05
TRAAMPA128F92E7D0D,Descendents,Orgofart,Punk,12|0.703075158613,14|0.198276628344,8|0.06503320443,21|0.00392061149565,23|0.00338930615162,1|0.00286789988677,16|0.00241554112398,18|0.00207988237379,9|0.00190827553616,5|0.00180044079411,4|0.00172225172407,17|0.00169908054542,20|0.00149193506989,10|0.00138245819921,3|0.00129172487812,22|0.00122941150055,24|0.00121685531754,6|0.00117286751306,11|0.00111075289981,7|0.00108735294027,19|0.000738159517397,13|0.000493641149846,2|0.000385122427194,0|0.000125548916996,15|8.5888651508e-05
TRAEXEA128F933C67D,Pursuit Of Happiness,Hard To Laugh,Rock,5|0.705818543176,14|0.0750784824108,10|0.0585335928723,11|0.0583322022023,13|0.0434975675594,12|0.0179234149797,9|0.0157916580819,8|0.00507158205029,21|0.00290599623114,23|0.0025121874263,1|0.0021257159174,16|0.0017904231037,18|0.00154162949993,4|0.00127655010571,17|0.00125937539765,20|0.00110583711113,3|0.000957439325892,22|0.000911252030731,24|0.000901945263009,6|0.00086934106487,7|0.000805956813075,19|0.000547131175307,2|0.000285456573087,0|9.30581058643e-05,15|6.36615226622e-05
TRALDDK128F9300AC5,Thrice,The Earth Will Shake,Rock,1|0.474041836624,18|0.349279741318,23|0.0678094736401,8|0.0609911213321,12|0.0352260183427,14|0.00184184464388,21|0.00167662802863,16|0.0010329929291,9|0.000816063579323,5|0.000769948642616,4|0.000736511515139,17|0.000726602487522,20|0.000638017859675,10|0.000591200675656,3|0.000552399067935,22|0.000525751093377,24|0.000520381510495,6|0.000501570366879,11|0.000475007392795,7|0.000465000528283,19|0.000315669873907,13|0.000211102933518,2|0.000164695496252,0|5.36903065845e-05,15|3.67298113112e-05
TRATGQO128F421B850,Elvenking,Pathfinders,Metal|Rock,8|0.403946142301,1|0.261216577683,18|0.142003680734,23|0.0533221591918,24|0.045057850531,22|0.0301987903556,12|0.0241289178439,14|0.0165140771234,10|0.0153935590301,21|0.0015021797487,16|0.000925513013112,9|0.000731154532534,5|0.000689837721142,4|0.000659879629727,17|0.000651001607673,20|0.000571633953235,3|0.000494923548265,6|0.000449383426023,11|0.000425584252292,7|0.000416618572988,19|0.000282825339765,13|0.000189138286016,2|0.000147559407899,0|4.81039860215e-05,15|3.29081810532e-05
TRAAXMX128F9307699,Till West & DJ Delicious,Same Man,Electronic|Pop,4|0.329848342599,16|0.222270153922,21|0.188794366287,22|0.111175567215,10|0.0388783613299,3|0.038708599043,8|0.0128019647763,12|0.00895148598976,14|0.00805831967525,23|0.0063414008931,1|0.00536584837418,18|0.00389146549549,9|0.00357038864237,5|0.003368629551,17|0.00317898425405,20|0.00279141451418,24|0.00227673956031,6|0.00219443826024,11|0.00207822165239,7|0.00203444026537,19|0.00138109843533,13|0.00092360391433,2|0.000720565093415,0|0.000234902360174,15|0.000160697897155
TRAYMKM128F4277046,Simon & Garfunkel,Patterns,Rock|Folk,12|0.436683576957,1|0.197721496787,23|0.184121794973,18|0.0713753955995,16|0.0576418640797,8|0.018905198725,21|0.016800142637,14|0.00310312730702,9|0.00137489835838,5|0.00129720422721,4|0.00124086958265,17|0.00122417492044,20|0.00107492814299,10|0.000996050870333,3|0.000930678186012,22|0.000885781860036,24|0.00087673522338,6|0.000845042336782,11|0.000800289219025,7|0.000783429721876,19|0.000531838452813,13|0.00035566478409,2|0.00027747784997,0|9.04570627269e-05,15|6.18821358468e-05
TRBARSX12903D03AE5,Sade,Morning Bird,RnB,23|0.251264995705,17|0.213192518631,8|0.152436872911,1|0.110240364505,18|0.10881761571,16|0.0744028295863,12|0.0436588085227,14|0.0077761107863,21|0.00707858034681,9|0.00344535073713,5|0.00325065741274,4|0.00310948871618,20|0.00269365691453,10|0.00249599876195,3|0.00233218168795,22|0.0022196762152,24|0.00219700629485,6|0.00211758725305,11|0.00200544064504,7|0.00196319251769,19|0.00133273124829,13|0.000891258556364,2|0.000695330319588,0|0.000226675889054,15|0.000155070126498
